15:12:05.851 TRACE [Log4JLogger              ] 41   setup                     - entry
15:12:15.868 DEBUG [ConnectionFilter         ] 47   <init>                    - ConnectionFilter instantiated
10:02:47.479 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-file-upload.min.map
10:02:47.479 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-touch.min.js.map
10:02:47.976 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
10:02:47.976 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
10:02:47.992 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-touch.min.js.map
10:02:47.992 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-file-upload.min.map
10:02:48.455 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
10:02:48.455 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
10:02:48.467 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-touch.min.js.map
10:02:48.467 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-file-upload.min.map
10:07:59.241 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
10:07:59.241 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
10:08:07.973 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
10:08:07.974 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
10:08:07.997 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-file-upload.min.map
10:08:07.998 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-touch.min.js.map
10:08:12.454 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
10:08:12.454 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
10:08:12.471 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-file-upload.min.map
10:08:12.472 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-touch.min.js.map
10:08:13.284 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
10:08:13.285 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
10:08:13.314 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-touch.min.js.map
10:08:13.317 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-file-upload.min.map
10:09:39.820 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/dataFiles
10:09:39.823 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/libFiles
10:09:39.825 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/process/confinit
10:09:40.022 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userruns
10:21:18.499 DEBUG [ConnectionsMonitor       ] 52   monitorRequest            - Add new client to the monitoring map : ConnectInfo [from :77.56.43.29, Location : Zurich , Switzerland]
10:21:24.333 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :77.56.43.29, Location : Zurich , Switzerland] accessing resource : /ws-resources/bs-model/userinfo
10:21:24.338 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :77.56.43.29, Location : Zurich , Switzerland] accessing resource : /ws-resources/bs-model/connectionstatus
10:36:37.575 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :109.212.181.199, Location : Saint-Bonnet-de-Mure , France] accessing resource : /ws-resources/bs-model/connectionstatus
10:36:37.575 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :109.212.181.199, Location : Saint-Bonnet-de-Mure , France] accessing resource : /ws-resources/bs-model/userinfo
10:38:16.091 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
10:38:16.092 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
10:49:32.792 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/dataFiles
10:49:32.793 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/libFiles
10:49:32.897 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/process/confinit
10:49:33.163 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userruns
14:21:23.952 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
14:21:23.953 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
14:21:37.854 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/dataFiles
14:21:37.857 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/libFiles
14:21:37.861 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/process/confinit
14:21:38.152 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userruns
16:05:13.683 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/dataFiles
16:05:13.683 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/libFiles
16:05:13.684 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/process/confinit
17:45:38.190 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
17:45:38.191 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
17:46:09.723 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
17:46:09.727 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
18:38:41.876 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
18:38:41.876 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
02:00:49.454 DEBUG [ConnectionsMonitor       ] 52   monitorRequest            - Add new client to the monitoring map : ConnectInfo [from :157.55.39.75, Location : Redmond , United States]
02:00:49.454 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :157.55.39.75, Location : Redmond , United States] accessing resource : /robots.txt
08:25:28.633 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
08:25:28.665 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
09:48:42.329 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
